Date,Open,High,Low,Close,Adj Close,Volume
2002-06-06,0.035420,0.035420,0.035420,0.035420,-0.053533,0
2002-06-07,null,null,null,null,null,null
2002-06-10,0.034090,0.034090,0.034090,0.034090,-0.051522,0
2002-06-11,null,null,null,null,null,null
2002-06-12,0.034530,0.034530,0.034530,0.034530,-0.052187,0
2002-06-13,0.035420,0.035420,0.035420,0.035420,-0.053533,0
2002-06-14,null,null,null,null,null,null
2002-06-17,null,null,null,null,null,null
2002-06-18,0.035860,0.035860,0.035860,0.035860,-0.054198,0
2002-06-19,null,null,null,null,null,null
2002-06-20,null,null,null,null,null,null
2002-06-21,null,null,null,null,null,null
2002-06-24,0.034090,0.034090,0.034090,0.034090,-0.051522,0
2002-06-25,0.033200,0.033200,0.033200,0.033200,-0.050177,0
2002-06-26,null,null,null,null,null,null
2002-06-27,null,null,null,null,null,null
2002-06-28,null,null,null,null,null,null
2002-07-01,0.033200,0.033200,0.033200,0.033200,-0.050177,0
2002-07-02,null,null,null,null,null,null
2002-07-03,0.030990,0.030990,0.030990,0.030990,-0.046837,0
2002-07-05,null,null,null,null,null,null
2002-07-08,0.036300,0.036300,0.036300,0.036300,-0.054863,0
2002-07-09,0.036750,0.036750,0.036750,0.036750,-0.055543,0
2002-07-10,null,null,null,null,null,null
2002-07-11,0.036750,0.036750,0.036750,0.036750,-0.055543,0
2002-07-12,null,null,null,null,null,null
2002-07-15,0.038520,0.038520,0.038520,0.038520,-0.058218,0
2002-07-16,0.038960,0.038960,0.038960,0.038960,-0.058883,0
2002-07-17,0.042500,0.042500,0.042500,0.042500,-0.064233,0
2002-07-18,0.046490,0.046490,0.046490,0.046490,-0.070263,0
2002-07-19,null,null,null,null,null,null
2002-07-22,0.054010,0.054010,0.054010,0.054010,-0.081629,0
2002-07-23,0.055780,0.055780,0.055780,0.055780,-0.084304,0
2002-07-24,0.055340,0.055340,0.055340,0.055340,-0.083639,0
2002-07-25,null,null,null,null,null,null
2002-07-26,null,null,null,null,null,null
2002-07-29,0.052240,0.052240,0.052240,0.052240,-0.078954,0
2002-07-30,null,null,null,null,null,null
2002-07-31,null,null,null,null,null,null
